Id,FkProfileId,Name,Role,Independent,IdField
107796,1,ARIDONO SUKMANTO,KOMISARIS,Ya,1
107793,1,CHIEW SIN CHEOK,PRESIDEN KOMISARIS,Tidak,1
107794,1,JOHANNES LOMAN,KOMISARIS,Tidak,1
107795,1,RATNA WARDHANI,KOMISARIS,Ya,1
107797,2,Mahendra Agakhan T,KOMISARIS UTAMA,Tidak,2
107798,2,Rudy Setia Laksmana,KOMISARIS,Tidak,2
107799,2,Martin Suharlie,KOMISARIS,Tidak,2
107800,2,Aldo Rambie,KOMISARIS,Ya,2
107801,2,Angkie Yudistia,KOMISARIS,Ya,2
107802,3,Abhishek Bhatia,KOMISARIS UTAMA,Tidak,3
107803,3,Saurabh Narayan Agarwal,KOMISARIS,Tidak,3
107804,3,Herwan Ng,KOMISARIS,Ya,3
107805,3,Francisco Noriega Malave,KOMISARIS,Ya,3
107807,4,Arief Tarunakarya Surowidjojo,KOMISARIS,Ya,4
107808,4,Mivida Hamami,KOMISARIS,Tidak,4
107809,4,Manggi Taruna Habir,KOMISARIS,Ya,4
107806,4,Rachmat Mulyana Hamami,KOMISARIS UTAMA,Tidak,4
107812,5,LETJEN TNI (PURN) TARUB,KOMISARIS,Ya,6
107810,5,KUNCORO WIBOWO,KOMISARIS UTAMA,Tidak,6
107811,5,IR. HARTANTO DJASMAN,KOMISARIS,Tidak,6
107813,5,IRJEN POL (PURN) MATHIUS SALEMPANG ,KOMISARIS,Ya,6
107814,5,TARISA WIDYA KRISNADI,KOMISARIS,Tidak,6
107817,6,Buntoro Muljono,KOMISARIS,Ya,7
107818,6,Wiltarsa Halim ,KOMISARIS,Ya,7
107815,6,Frans Kesuma,PRESIDEN KOMISARIS,Tidak,7
107816,6,Iwan Hadiantoro,KOMISARIS,Tidak,7
107823,2009,Herry Ardianto,KOMISARIS UTAMA,Tidak,1233
107819,2009,A. A. G. Agung Dharmawan,KOMISARIS,Tidak,1233
107820,2009,Tjatur Waskito Putro,KOMISARIS,Tidak,1233
107821,2009,Amrozi Hamidi,KOMISARIS,Ya,1233
107822,2009,Muhammad Isnaini,KOMISARIS,Ya,1233
107826,7,Julianto,KOMISARIS,Ya,8
107824,7,Hanjaya Limanto,KOMISARIS UTAMA,Tidak,8
107825,7,Nana Puspa Dewi,KOMISARIS,Tidak,8
107830,8,CAHYO R. MUZHAR,KOMISARIS,Tidak,9
107831,8,WIDIARTO,KOMISARIS,Tidak,9
107832,8,YUSTINUS PRASTOWO,KOMISARIS,Tidak,9
107827,8,DODY USODO HARGO,KOMISARIS UTAMA,Tidak,9
107828,8,HIRONIMUS HILAPOK,KOMISARIS,Ya,9
107829,8,ABDUL MUNI,KOMISARIS,Ya,9
107835,9,Manggi Taruna Habir,KOMISARIS,Ya,10
107833,9,Daisuke Ejima,KOMISARIS UTAMA,Tidak,10
107834,9,Krisna Wijaya,KOMISARIS,Ya,10
107838,9,Hafid Hadeli,KOMISARIS,Tidak,10
107836,9,Eng Heng Nee Philip,KOMISARIS,Tidak,10
107837,9,Congsin Congcar,KOMISARIS,Tidak,10
107839,10,"Bacelius Ruru, SH ",PRESIDEN KOMISARIS,Ya,11
107840,10,H. Rosihan Arsyad,WAKIL PRESIDEN KOMISARIS,Tidak,11
107841,10,Hendra Soerijadi ,KOMISARIS,Tidak,11
107842,10,Johan Setiawan ,KOMISARIS,Tidak,11
107843,10,Bambang Husodo,KOMISARIS,Ya,11
107846,1795,Chia Ah Hoo,KOMISARIS,Tidak,1226
107844,1795,Garibaldi Thohir,PRESIDEN KOMISARIS,Tidak,1226
107845,1795,Mohammad Syah Indra Aman,KOMISARIS,Tidak,1226
107849,1795,Budi Bowoleksono,KOMISARIS,Ya,1226
107847,1795,Lie Luckman,KOMISARIS,Tidak,1226
107848,1795,Mohammad Effendi,KOMISARIS,Ya,1226
107850,11,Edwin Soeryadjaya,PRESIDEN KOMISARIS,Tidak,12
107851,11,Ir. Theodore Permadi Rachmat,WAKIL PRESIDEN KOMISARIS,Tidak,12
107852,11,Arini Saraswaty Subianto,KOMISARIS,Tidak,12
107853,11,Mohammad Effendi,KOMISARIS,Ya,12
107854,11,Budi Bowoleksono,KOMISARIS,Ya,12
107855,1559,Bayu Aji,KOMISARIS UTAMA,Tidak,1114
