Id,FkProfileId,Name,BusinessSector,TotalAsset,PercentageOwn,IdField
215466,1,PT Bhadra Sukses,Perkebunan Kelapa Sawit,107.693,99.80000305 %,1
215467,1,PT Borneo Indah Marjaya,Perkebunan Kelapa Sawit,845.204,99.98999786 %,1
215468,1,PT Cakradenta Agung Pertiwi,Perkebunan Kelapa Sawit,39.166,99.98999786 %,1
215469,1,PT Cakung Permata Nusa,Perkebunan Kelapa Sawit,45.639,99.98999786 %,1
215470,1,PT Cipta Agro Nusantara,Perkebunan Kelapa Sawit,445.136,99.98999786 %,1
215471,1,PT Ciptanarada Lestari,Perkebunan Kelapa Sawit,74.024,99.98999786 %,1
215472,1,PT Eka Dura Indonesia,Perkebunan Kelapa Sawit,1.396.581,99.98999786 %,1
215473,1,PT Eka Dura Perdana,Lainnya,12.334,99.98999786 %,1
215474,1,PT Gunung Sejahtera Dua Indah,Perkebunan Kelapa Sawit,652.519,95 %,1
215463,1,PT Agro Menara Rachmat,Perkebunan Kelapa Sawit,397.87,99.98999786 %,1
215464,1,PT Agro Nusa Abadi,Perkebunan Kelapa Sawit,1.054.227,99.98999786 %,1
215465,1,PT Bhadra Cemerlang,Perkebunan Kelapa Sawit,440.681,99.98999786 %,1
215492,1,PT Persadabina Nusantaraabadi,Perkebunan Kelapa Sawit,173.175,95 %,1
215493,1,PT Rimbunan Alam Sentosa,Perkebunan Kelapa Sawit,138.171,99.98999786 %,1
215494,1,PT Sari Aditya Loka,Perkebunan Kelapa Sawit,771.058,90 %,1
215495,1,PT Sari Lembah Subur,Perkebunan Kelapa Sawit,997.603,85 %,1
215496,1,PT Sawit Asahan Indah,Perkebunan Kelapa Sawit,509.876,99.98999786 %,1
215497,1,PT Sawit Jaya Abadi,Perkebunan Kelapa Sawit,692.418,99.98999786 %,1
215498,1,PT Subur Abadi Plantations,Perkebunan Kelapa Sawit,394.781,99.98999786 %,1
215499,1,PT Subur Agro Makmur,Perkebunan Kelapa Sawit,1.608.201,99.98999786 %,1
215500,1,PT Sukses Tani Nusasubur,Perkebunan Kelapa Sawit,447.488,99.98999786 %,1
215501,1,PT Sumber Kharisma Persada,Perkebunan Kelapa Sawit,511.946,99.98999786 %,1
215502,1,PT Suryaindah Nusantarapagi,Perkebunan Kelapa Sawit,701.529,95 %,1
215503,1,PT Suryaraya Lestari,Perkebunan Kelapa Sawit,822.33,99.98999786 %,1
215504,1,PT Tanjung Bina Lestari,Penyulingan Minyak,119.748,99.98999786 %,1
215505,1,PT Tanjung Sarana Lestari,Penyulingan Minyak,2.200.148,99.98999786 %,1
215506,1,PT Tri Buana Mas,Perkebunan Kelapa Sawit,2.644.898,99.98999786 %,1
215507,1,PT Tunggal Perkasa Plantations,Perkebunan Kelapa Sawit,1.260.682,99.98999786 %,1
215508,1,PT Waru Kaltim Plantation,Perkebunan Kelapa Sawit,817.867,99.98999786 %,1
215475,1,PT Gunung Sejahtera Ibu Pertiwi,Perkebunan Kelapa Sawit,639.226,99.98999786 %,1
215476,1,PT Gunung Sejahtera Puti Pesona,Perkebunan Sawit,655.934,95 %,1
215477,1,PT Gunung Sejahtera Raman Permai,Perkebunan Kelapa Sawit,12.644,99.98999786 %,1
215478,1,PT Gunung Sejahtera Yoli Makmur,Perkebunan Kelapa Sawit,359.052,95 %,1
215479,1,PT Karya Tanah Subur,Perkebunan Kelapa Sawit,855.134,99.98999786 %,1
215480,1,PT Karyanusa Ekadaya,Perkebunan Kelapa Sawit,1.595.835,99.98999786 %,1
215481,1,PT Kimia Tirta Utama,Perkebunan Kelapa Sawit,1.050.205,75 %,1
215482,1,PT Lestari Tani Teladan,Perkebunan Kelapa Sawit,458.565,94.98999786 %,1
215483,1,PT Letawa,Perkebunan Kelapa Sawit,1.156.718,99.98999786 %,1
215484,1,PT Mamuang,Perkebunan Kelapa Sawit,352.633,99.98999786 %,1
215485,1,PT Mitra Barito Gemilang,Perkebunan Karet,42.159,99.98999786 %,1
215486,1,PT Nirmala Agro Lestari,Perkebunan Kelapa Sawit,877.929,99.98999786 %,1
215487,1,PT Palma Plantasindo,Perkebunan Kelapa Sawit,536.804,99.98999786 %,1
215488,1,PT Pandji Waringin,Perkebunan Karet,24.741,99.98999786 %,1
215489,1,PT Pasangkayu,Perkebunan Kelapa Sawit,576.838,99.98999786 %,1
215490,1,PT Perkebunan Lembah Bhakti,Perkebunan Kelapa Sawit,831.779,99.98999786 %,1
215491,1,PT Persada Dinamika Lestari,Perkebunan Kelapa Sawit,690.422,99.98999786 %,1
215514,2,PT REPUBLIKA MEDIA MANDIRI,PENERBITAN PERS,56.547.098.880,91.91000366 %,2
215513,2,PT MEDIA GOLFINDO,PENERBITAN PERS,0,0.0 %,2
215509,2,PT ADHARA DHANAPA MAHARDHIKA,PENERBITAN PERS,0,0.0 %,2
215510,2,PT DANAPATI ABINAYA INVESTAMA,PENYIARAN TELEVISI,42.515.428.260,50.0 %,2
215511,2,PT GAMMA INVESTA LESTARI,PENGELOLAAN GEDUNG,31.128.646.283,99.98000336 %,2
215512,2,PT KALYANAMITRA ADHARA MAHARDHIKA,EVENT ORGANIZER,7.510.997.685,80.0 %,2
215516,3,"PT Asuransi Bina Dana Arta, Tbk",Asuransi Umum,2.530.696.873,100.0 %,3
215515,3,PT Altra Raya,Jasa Bengkel,7.976.417,99.0 %,3
215520,4,PT Anzara Janitra Nusantara (AJN),Industri pembangkit listrik energi thermal,18.624.883,100.0 %,4
215521,4,PT Bara Energi Lestari (melalui Reswara),Pertambangan batubara,16.086.770,70.0 %,4
215522,4,PT Baruna Dirga Dharma (melalui CKB),Transportasi laut domestik,27.174.545,99.98999786 %,4
215517,4,"PT Agata Nugraha Nastari															
(melalui Reswara)",Perdagangan,24.135.744,100.0 %,4
215518,4,PT Alfa Trans Raya (melalui CKB),Transportasi laut,6.594.892,99.98999786 %,4
215519,4,PT Andara Candria Energi (melalui AJN),Industri pembangkit listrik energi yang terbarukan,14.090.696,99.09999847 %,4
215523,4,PT Cipta Krida Bahari (CKB),Jasa logistik,135.345.471,100.0 %,4
215524,4,PT Cipta Kridatama (CK),Kontraktor pertambangan dan jasa konstruksi,320.232.400,100.0 %,4
215525,4,PT Dianta Daya Embara (melalui CKB),Jasa titipan dan pos,5.868.810,99.98999786 %,4
215526,4,PT Media Djaya Bersama (melalui Reswara),"Perdagangan, pengembangan dan industri",189.171.507,70.0 %,4
215527,4,PT Mifa Bersaudara (melalui Reswara),Pertambangan batubara,182.609.260,70.0 %,4
215528,4,PT Nagata Bio Energi (Melalui AJN),Industri pembangkit listrik energi yang terbarukan,4.429.489,98.80000305 %,4
215529,4,PT Nagata Biogas Dwienergi (melalui AJN),Industri pembangkit listrik energi yang terbarukan,6.381,98.80000305 %,4
215530,4,PT Nagata Dinamika (melalui AJN),Industri pembangkit listrik energi yang terbarukan,1.906.983,99.5 %,4
215531,4,"PT Nagata Dinamika Hidro Buakayu Ulu 															
(melalui AJN)",Industri pembangkit listrik energi yang terbarukan,32.324,99.0 %,4
215532,4,PT Nagata Dinamika Hidro Pongko (melalui AJN),Industri pembangkit listrik energi yang terbarukan,20.033,99.0 %,4
215533,4,PT Pelabuhan Buana Reja (melalui CKB),Jasa pengelolaan pelabuhan,22.793.543,100.0 %,4
215534,4,PT Prima Wiguna Parama,Perdagangan dan konstruksi,28.133.886,100.0 %,4
215535,4,PT Punggawa Nagata Dinamika Hidro (melalui AJN),Industri pembangkit listrik energi yang terbarukan,642.348,42.79999924 %,4
215536,4,PT Reswara Minergi Hartama (Reswara),Perdagangan,304.025.963,100.0 %,4
215537,4,PT Sanggar Sarana Baja (SSB),"Perencanaan rekayasa mesin, pengembangan, dan pembuatan perlengkapan penunjang alat-alat berat dan alat angkut bahan",67.758.628,99.98999786 %,4
215538,4,PT Tunas Inti Abadi (melalui Reswara),"Pengembangan dan pertambangan sumberdaya, terutama batubara",71.630.414,100.0 %,4
215540,5,PT TOYS KINGDOM INDONESIA,INDUSTRI DAN PERDAGANGAN,270.175.732.509,60.0 %,6
215539,5,PT OMNI DIGITAMA INTERNUSA,INDUSTRI DAN PERDAGANGAN,111.047.813.308,30.0 %,6
215544,6,PT ATMC Pump Services,Jasa Penunjang Konstruksi,78.473,55.0 %,7
215545,6,PT Bintai Kindenko Engineering Indonesia,Jasa Penunjang Konstruksi,202.759,60.0 %,7
215547,6,PT Sacindo Machinery,Perdagangan Besar Alat Berat,65.765,96.5 %,7
215546,6,PT Innotech Systems,Jasa Penunjang Konstruksi,54.095,100.0 %,7
215541,6,Acset Indonusa Co Ltd,Jasa Konstruksi,0,100.0 %,7
215542,6,PT Acset Pondasi Indonusa,Jasa Konstruksi,53.733,100.0 %,7
215543,6,PT Aneka Raya Konstruksi Mesindo,Jasa Penunjang Konstruksi,119.467,99.90000153 %,7
215550,2009,PT Mega Graha Citra Perkasa (“MGCP”),Properti,231.993.403.617,99.99 %,1233
215548,2009,PT Mega Graha Citra Perkasa (“MGCP”),Properti,211.989.078.810,9999.0 %,1233
215549,2009,PT Mega Graha Citra Perkasa (“MGCP”),Properti,211.989.078.810,9999.0 %,1233
215551,2009,PT Mega Graha Citra Perkasa (“MGCP”),Properti,231.993.403.617,99.99 %,1233
215552,7,PT.Akasha Wira International Tbk,Industri Barang Konsumsi,0,0.0 %,8
215558,8,PT Adhi Jalintim Riau,Investasi,130.623.581.333,99.84 %,9
215559,8,PT Adhi Jalintim Riau,Investasi,130.623.581.333,99.84 %,9
215560,8,PT Adhi Jalintim Riau,Investasi,7.587.841.874,99.84 %,9
215561,8,PT Adhi Jalintim Riau,Investasi,7.587.841.874,99.84 %,9
215562,8,PT Adhi Persada Beton,Industri Beton Pracetak,2.036.197.791.686,99.86 %,9
215553,8,PT Adhi Commuter Properti,Properti,4.764.570.413.318,99.98999786 %,9
215554,8,PT Adhi Commuter Properti,Properti,5.567.895.569.322,99.99 %,9
215555,8,PT Adhi Commuter Properti,Properti,5.567.895.569.322,99.99 %,9
215556,8,PT Adhi Commuter Properti,Properti,6.179.923.743.465,99.99 %,9
