Id,FkProfileId,Name,Role,Affiliated,IdField
183226,1,DJAP TET FA,DIREKTUR,Ya,1
183228,1,EKO PRASETYO,DIREKTUR,Ya,1
183227,1,SAID FAKHRULLAZI,DIREKTUR,Ya,1
183222,1,SANTOSA,PRESIDEN DIREKTUR,Ya,1
183223,1,MARIO CASIMIRUS SURUNG GULTOM,DIREKTUR,Ya,1
183224,1,MUHAMMAD HADI SUGENG WAHYUDIONO,DIREKTUR,Ya,1
183225,1,RUJITO PURNOMO,DIREKTUR,Ya,1
183231,2,Ishak Reza,DIREKTUR,Ya,2
183229,2,Tubagus Farash Akbar F,DIREKTUR UTAMA,Ya,2
183230,2,Vincentius Dicky Haryanto,DIREKTUR,Ya,2
183234,3,Fenni Sutanto,DIREKTUR,Ya,3
183232,3,Julien Pierre Combaret,DIREKTUR,Ya,3
183233,3,Liani Chandra,DIREKTUR,Ya,3
183236,4,Adrian Erlangga,DIREKTUR,Ya,4
183237,4,Haris Mustarto,DIREKTUR,Ya,4
183235,4,Achmad Ananda Djajanegara,DIREKTUR UTAMA,Ya,4
183242,5,TERESA LUCIA WIBOWO,DIREKTUR,Ya,6
183238,5,PRABOWO WIDYA KRISNADI,DIREKTUR UTAMA,Ya,6
183239,5,SUGIYANTO WIBAWA,DIREKTUR,Ya,6
183240,5,SUHARNO,DIREKTUR,Ya,6
183241,5,GREGORY SUGYONO WIDJAJA,DIREKTUR,Ya,6
183246,6,Djoko Prabowo,DIREKTUR,Ya,7
183243,6,Idot Supriadi,PRESIDEN DIREKTUR,Ya,7
183244,6,David Widjaja,DIREKTUR,Ya,7
183245,6,Soeharsono Tjatur Nugroho,DIREKTUR,Ya,7
183249,2009,Mochamad Yusuf,DIREKTUR,Ya,1233
183247,2009,Rizkan Firman,DIREKTUR UTAMA,Ya,1233
183248,2009,Rozi Sparta,DIREKTUR,Ya,1233
183251,7,Raimond Bing Lesnussa,DIREKTUR,Ya,8
183250,7,Wihardjo Hadiseputro,PRESIDEN DIREKTUR,Ya,8
183256,8,A.A.G. AGUNG DHARMAWAN,DIREKTUR,Ya,9
183257,8,AGUS KARIANTO,DIREKTUR,Ya,9
183252,8,ENTUS ASNAWI MUKHSON,DIREKTUR UTAMA,Ya,9
183253,8,A. SUKO WIDIGDO,DIREKTUR,Ya,9
183254,8,PUNDJUNG SETYA BRATA,DIREKTUR,Ya,9
183255,8,VERA KIRANA,DIREKTUR,Ya,9
183263,9,Denny Riza Farib,DIREKTUR,Ya,10
183258,9,I Dewa Made Susila,DIREKTUR UTAMA,Ya,10
183259,9,Swandajani Gunadi,DIREKTUR,Ya,10
183260,9,Niko Kurniawan Bonggowarsito,DIREKTUR,Ya,10
183261,9,Harry Latif,DIREKTUR,Ya,10
183262,9,Jin Yoshida,DIREKTUR,Ya,10
183268,10,Wiji Santoso,DIREKTUR,Ya,11
183264,10,"Gautama Hartarto, MA",PRESIDEN DIREKTUR,Ya,11
183265,10,Djali Halim,WAKIL PRESIDEN DIREKTUR,Ya,11
183266,10,Gunawan Halim,DIREKTUR,Ya,11
183267,10,Djunali Djuwati,DIREKTUR,Ya,11
183274,1795,Wito Krisnahadi,DIREKTUR,Ya,1226
183269,1795,Christian Ariano Rachmat,PRESIDEN DIREKTUR,Ya,1226
183270,1795,Iwan Dewono Budiyuwono,WAKIL PRESIDEN DIREKTUR,Ya,1226
183271,1795,Totok Azhariyanto,DIREKTUR,Ya,1226
183272,1795,Hendri Tamrin,DIREKTUR,Ya,1226
183273,1795,Heri Gunawan,DIREKTUR,Ya,1226
183280,11,Julius Aslan,DIREKTUR,Ya,12
183275,11,Garibaldi Thohir,PRESIDEN DIREKTUR,Ya,12
183276,11,Christian Ariano Rachmat,WAKIL PRESIDEN DIREKTUR,Ya,12
183277,11,Michael William P. Soeryadjaya,DIREKTUR,Ya,12
183278,11,Chia Ah Hoo,DIREKTUR,Ya,12
183279,11,Mohammad Syah Indra Aman,DIREKTUR,Ya,12
183282,1559,Indra Widyadharma,DIREKTUR UTAMA,Ya,1114
183281,1559,Agnes Kristina,DIREKTUR,Ya,1114
183283,534,RACHMAT HARSONO,DIREKTUR UTAMA,Ya,955
183285,534,IMELDA MULYANI HARSONO,DIREKTUR,Ya,955
183286,534,NINI LIEMIJANTO,DIREKTUR,Ya,955
183287,534,BUDI SUSANTO,DIREKTUR,Ya,955
183288,534,DJANARKO TJANDRA,DIREKTUR,Ya,955
183289,534,OCTAVIANUS SANTOSO RASTANTO,DIREKTUR,Ya,955
183290,534,ANDY PURWOHARDONO,DIREKTUR,Ya,955
183284,534,FERRYAWAN UTOMO,WAKIL DIREKTUR UTAMA,Ya,955
183295,12,Rustarti Suri Pertiwi,DIREKTUR,Ya,13
