FiscalYearEnds,DateOfStatement,Currency,Range,Cashnequivalent,CurrAsset,FixedAsset,TotalAsset,CurrliAbilities,LongtermDebt,MinInterest,TotalLiab,Paidupcap,TotEquity,TotSales,GrossProfit,OperateProfit,NetIncome,CashPptAct,CashInvAct,CashFinAct,Eps,BookValue,Der,Roa,Roe,Npm,Opm,SalesPct,NetIncomePct,TotAssetPct,TotalLiabilitiesPct,Id,DateCreated,DateModified,IsUpdateDate,IdField
December,2016-06-30,IDR,1.0,294441000000.0,2814123000000.0,18698248000000.0,21512371000000.0,3522133000000.0,6291451000000.0,0.0,9813584000000.0,1574745000.0,11698787000000.0,13059216000000.0,3082098000000.0,1175513000000.0,619107000000.0,0.0,-1107715000000.0,-1107715000000.0,823.1348,8.0,0.84,0.0288,0.0529,0.05,0.09,-13.94,43.89,18.51,-2.3,1,2016-03-24T16:05:12.84771,2016-10-01T00:03:35.409015,True,1
December,2016-06-30,IDR,1.0,11175745880.0,205063931411.0,248159537844.0,453223469255.0,137081364530.0,159010131049.0,0.0,296091495579.0,2755125000.0,157131973676.0,195753524241.0,86726851657.0,-13635399224.0,-12332500611.0,0.0,-6149809072.0,-6149809072.0,-3.2551,45.28,1.88,-0.0363,-0.1046,-0.06,-0.07,-4.57,-109.15,-15.16,-8.52,2,2016-03-24T16:05:13.25396,2016-10-01T00:03:35.440265,True,2
December,2016-06-30,IDR,1.0,1334663086000.0,2667726374000.0,96885029000.0,2764611403000.0,1591527659000.0,0.0,0.0,1591527659000.0,620806680.0,1174042824000.0,1098750378000.0,283122452000.0,283122452000.0,262931849000.0,0.0,-4249727000.0,-4249727000.0,289.3839,1.0,1.36,0.1268,0.2986,0.24,0.26,-14.42,-123.21,4.78,2.48,3,2016-03-24T16:05:13.300835,2016-10-01T00:03:35.45589,True,3
December,2016-06-30,USD,14657.0,105639371.0,364379015.0,812336703.0,1176715718.0,478832272.0,514472407.0,0.0,993304679.0,2753165000.0,183411039.0,497751371.0,94619881.0,32379083.0,-3062603.0,0.0,-11702888.0,-11702888.0,86.6204,861.99,5.42,-0.0035,-0.0223,-0.01,0.07,-21.0,53.18,-4.6,-3.61,4,2016-03-24T16:05:13.37896,2016-10-01T00:03:35.471515,True,4
December,2016-06-30,IDR,1.0,208720505489.0,2218745170657.0,852313805618.0,3071058976275.0,407245247463.0,196653228900.0,0.0,603898476363.0,17150000000.0,2467160499912.0,3455476745749.0,1649172117272.0,505736729349.0,393260859991.0,0.0,-21986741742.0,-21986741742.0,27.7972,151.53,0.24,0.1707,0.2125,0.11,0.15,4.98,-3.3,9.67,7.89,5,2016-03-24T16:05:13.44146,2016-10-01T00:03:35.534015,True,6
December,2016-06-30,IDR,1.0,60671000000.0,1590910000000.0,338588000000.0,1929498000000.0,1199387000000.0,65252000000.0,0.0,1264639000000.0,500000000.0,664859000000.0,1356868000000.0,224374000000.0,42532000000.0,41918000000.0,0.0,-65110000000.0,-65110000000.0,131.38,2.0,1.9,0.0217,0.063,0.03,0.03,41.47,84.05,44.07,39.2,6,2016-03-24T16:05:13.50396,2016-10-01T00:03:35.565265,True,7
December,2016-06-30,IDR,1.0,16849000000.0,274187000000.0,339335000000.0,613522000000.0,197893000000.0,102816000000.0,0.0,300709000000.0,589896800.0,312813000000.0,479476000000.0,231066000000.0,22630000000.0,17014000000.0,0.0,-31673000000.0,-31673000000.0,7.5786,59.45,0.96,0.037,0.0725,0.04,0.05,28.28,-10.59,25.33,38.29,7,2016-03-24T16:05:13.550835,2016-10-01T00:03:35.61214,True,8
December,2016-06-30,IDR,1.0,4317347903384.0,14691152497441.0,2069911017438.0,16761063514879.0,9414462014334.0,2184469703709.0,0.0,11598931718043.0,3560849376.0,5162131796836.0,9389570098578.0,974644320497.0,850729601582.0,463685278990.0,0.0,-143255221616.0,-143255221616.0,31.1934,1.0,2.25,0.0277,0.0898,0.05,0.09,-2.6,-26.83,32.27,16.83,8,2016-03-24T16:05:13.582085,2016-10-01T00:03:35.64339,True,9
December,2016-06-30,IDR,1.0,1059985000000.0,27298915000000.0,445292000000.0,27744207000000.0,23383418000000.0,0.0,0.0,23383418000000.0,1000000000.0,4360789000000.0,8063757000000.0,900555000000.0,900555000000.0,664836000000.0,0.0,-40767000000.0,-40767000000.0,1.0,4.0,5.36,0.024,0.1525,0.08,0.11,4.53,66.6,-8.86,-13.56,9,2016-03-24T16:05:13.644585,2016-10-01T00:03:35.67464,True,10
December,2016-06-30,USD,14657.0,25294603.0,159056014.0,273011738.0,432067752.0,68584540.0,83847129.0,0.0,152431669.0,3889179559.0,279636083.0,239253995.0,-9971787.0,-13644850.0,-11617170.0,0.0,-459276.0,-459276.0,-131.116,835.31,0.55,-0.0358,-0.0554,-0.05,-0.06,-11.56,55.64,-12.42,-10.36,10,2016-03-24T16:05:13.69146,2016-10-01T00:03:35.690265,True,11
December,2016-03-31,USD,13795.0,702452000.0,1092519000.0,4866110000.0,5958629000.0,454473000.0,2151113000.0,0.0,2605586000.0,31985962000.0,3353043000.0,2684476000.0,543300000.0,331881000.0,152440000.0,0.0,-13698000.0,-13698000.0,99.094,1.0,0.78,0.0256,0.0455,0.06,0.12,-21.23,1.05,-7.02,-20.45,11,2016-03-24T16:05:13.72271,2016-10-01T00:03:35.721515,True,12
December,2016-06-30,IDR,1.0,21344659000.0,8073895660000.0,290606903000.0,8364502563000.0,7012090138000.0,0.0,0.0,7012090138000.0,11479715698.0,1352412425000.0,786709562000.0,355771133000.0,95694134000.0,80491880000.0,0.0,-268620390000.0,-268620390000.0,8.1889,122.23,5.18,0.0096,0.0595,0.1,0.12,13.92,14.15,24.7,23.1,12,2016-03-24T16:05:13.769585,2016-10-01T00:03:35.79964,True,13
December,2016-06-30,IDR,1.0,35098000000.0,4096823000000.0,88047000000.0,4184870000000.0,3704740000000.0,0.0,0.0,3704740000000.0,4235518900.0,480129000000.0,305844000000.0,92258000000.0,9272000000.0,9267000000.0,0.0,-1099000000.0,-1099000000.0,2.358,109.52,7.72,0.003,0.0257,0.03,0.03,-1.36,-27.16,0.47,-2.24,13,2016-03-24T16:05:13.81646,2016-10-01T00:03:35.83089,True,14
December,2016-06-30,IDR,1.0,112674549213.0,320860822541.0,21771043913.0,342631866454.0,170927803927.0,0.0,0.0,170927803927.0,840000000.0,171704062527.0,136000585890.0,4296948859.0,4968832750.0,2358721770.0,0.0,-7636059387.0,-7636059387.0,3.6763,221.89,1.0,0.0092,0.0183,0.02,0.04,10.1,0.71,7.34,-10.0,14,2016-03-24T16:05:13.84771,2016-10-01T00:03:35.86214,True,15
December,2016-06-30,IDR,1.0,55018128.0,20436602838.0,617649894.0,21054252732.0,332800154.0,387831581.0,0.0,720631735.0,110000000.0,20333620997.0,0.0,0.0,-1891922726.0,-1847046602.0,0.0,0.0,0.0,-19.8024,172.26,0.04,-0.117,-0.1211,0.0,0.0,100.0,5.49,-10.4,25.0,15,2016-03-24T16:05:13.894585,2016-10-01T00:03:35.877765,True,16
December,2016-03-31,IDR,1.0,566321000000.0,4234680000000.0,4281794000000.0,8516474000000.0,2248385000000.0,2385773000000.0,0.0,4634158000000.0,3218600000.0,3882316000000.0,4503758000000.0,916902000000.0,546394000000.0,254806000000.0,0.0,-119184000000.0,-119184000000.0,152.8292,1.0,1.19,0.0399,0.0875,0.06,0.12,3.55,-0.81,17.36,23.68,16,2016-03-24T16:05:13.925835,2016-10-01T00:03:35.909015,True,17
December,2014-12-31,IDR,1.0,457495349.0,6639575909.0,289319810.0,6928895719.0,1801831417.0,3319896207.0,0.0,5121727624.0,253000000.0,1807168096.0,2445897194.0,2445897194.0,-1132987567.0,-2242055465.0,0.0,391978.0,391978.0,-23.4989,15.32,2.83,-0.4314,-1.6542,-0.92,-0.46,-48.29,75.44,50.14,50.74,17,2016-03-24T16:05:13.957085,2016-10-01T00:03:35.92464,True,18
December,2016-06-30,IDR,1.0,74485178000.0,1199873752000.0,1982903934000.0,3182777686000.0,1067103576000.0,960804710000.0,0.0,2027908286000.0,680000000.0,1154869400000.0,1485407215000.0,156401690000.0,57273073000.0,9324607000.0,0.0,-41381374000.0,-41381374000.0,99.0395,1.0,1.76,0.0039,0.0108,0.01,0.04,8.44,54.24,-1.81,-4.65,18,2016-03-24T16:05:13.988335,2016-10-01T00:03:35.95589,True,19
December,2016-06-30,IDR,1.0,1289809132000.0,7285598874000.0,7917530689000.0,15203129563000.0,4871402133000.0,3045552087000.0,0.0,7916954220000.0,3949030235.0,7286175343000.0,19764821141000.0,2215994155000.0,1349169542000.0,1033629852000.0,0.0,-498482938000.0,-498482938000.0,293.498,1.0,1.09,0.068,0.1419,0.05,0.07,-39.43,-3.36,-0.85,-13.57,19,2016-03-24T16:05:14.019585,2016-10-01T00:03:35.98714,True,20
