Id,Code,Name,NewSectorName,NewSubSectorName,NewIndustryName,NewSubIndustryName,SectorName,SubSectorName,BoardRecording,HeadOffice,Phone,RepresentativeName,WebsiteUrl,Address,TotalEmployees,ExchangeAdministration,Npwp,Npkp,IsActive,ListingDate,AnnualDividend,GeneralInformation,Fax,FoundingDate,CompanyEmail

1,AALI,Astra Agro Lestari Tbk.,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,AGRICULTURE,Plantation,1,Jakarta,461-65-55,Marios Casimirus Surung Gultom // investor@astra-agro.co.id // 021-4616555,http://www.astra-agro.co.id,Jl Pulo Ayang Raya Blok OR No. 1  Kawasan Industri Pulogadung  Jakarta,25027,PT. Raya Saham Registrar (dulu bernama PT. Risjad Salim Registra,01.334.427.0-054.000,-,True,09 Des 1997,716.0,"PT Astra Agro Lestari Tbk (IDX: AALI) adalah anak perusahaan dari PT Astra Internasional Tbk (IDX: ASII). Perusahaan yang beralamat di Jl Pulo Ayang Raya Blok OR No. 1 Kawasan Industri Pulogadung, Jakarta Timur ini, bergerak pada bidang perkebunan karet dan manufaktur minyak sawit (Palm Oil). Selain penanaman karet dan kelapa sawit, perusahaan ini juga menanam tanaman produksi lainnya, seperti teh dan kakao. PT Astra Agro Lestari memiliki perkebunan di Sumatra, Kalimantan Tengah, Sulawesi, Banten, Riau dan Sulawesi Barat. Resmi listing di BEI pada tanggal 09 Desember 1997.","461-6655, 461-6677, 461-6688",03 October 1988,Investor@astra-agro.co.id

2,ABBA,Mahaka Media Tbk.,Barang Konsumen Non-Primer,Media & Hiburan,Media,Penerbitan,"TRADE, SERVICES, & INVESTMENT","Advertising, Printing, dan Media",2,Jakarta,(021) 573 9203,S. Pramudityo Anggoro // corsec@mahakamedia.com // 021-5739203,www.mahakamedia.com,"Sahid Office Boutique, Blok G Jl Jend Sudirman Kav.86 Jakarta 10220",537,PT. Adimitra Jasa Korpora,01.609.052.4-017.000,-,True,03 Apr 2002,0.0,"PT Mahaka Media Tbk (IDX: ABBA) merupakan perusahaan yang bergerak di sector Barang Konsumen Non-Primer dengan Bidang usaha Utama bergerak di industry Media dan Percetakan. Perusahaan memiliki entitas anak yang bergerak di bidang media elektronik seperti TV dan Radio dan juga percetakan (Majalah GolfIndo dan Koran Republika) serta penyewaan gedung. Perusahaan yang resmi melantai di BEI pada tanggal 03 April 2022 ini, beralamat kantor di Sahid Office Boutique, Blok G Jl Jend Sudirman Kav. 86 Jakarta 10220.",(021) 573 9210,28 November 1992,corsec@mahakamedia.com

3,ABDA,Asuransi Bina Dana Arta Tbk.,Keuangan,Asuransi,Asuransi,Asuransi Umum,FINANCE,Insurance,2,Jakarta Selatan,5140 1688,Marianty N Santoso // marie@abdainsurance.co.id // 5140 1688 ext. 1200,www.abdainsurance.co.id,Plaza ABDA Lt. 27  Jl. Jend. Sudirman Kav. 59  Jakarta Selatan,,PT. Raya Saham Registrar (dulu bernama PT. Risjad Salim Registra,01.362.014.1-054.000,,True,06 Jul 1989,85.0,"PT Asuransi Bina Dana Arta Tbk (IDX: ABDA) merupakan emiten yang bergerak disektor finance (asuransi), dengan alamat kantor tercatat di Plaza Asia Lt. 27 Jl. Jend. Sudirman Kav. 59 Jakarta Selatan. Perusahaan resmi listing di BEI tanggal 25 Agustus 1989. Bidang usaha utama perseroan adalah Asuransi kerugian. Listing di BEI pada tanggal 06 Juli 1989. Memiliki anak usaha yaitu: PT Altra Raya bergerak di bidang jasa bengkel dan PT Asuransi Bina Dana Arta, Tbk bergerak dibidang Asuransi umum.",5140 1698,,marie@abdainsurance.co.id

4,ABMM,ABM Investama Tbk.,Perindustrian,Perusahaan Holding Multi Sektor,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,"TRADE, SERVICES, & INVESTMENT",Investment Company,1,Jakarta,021-29976767,Ade Renaldi Satari // corporate-secretary@abm-investama.com // 021-29976767,www.abm-investama.com,Gedung TMT 1 Lantai 18  Jl. Cilandak KKO No. 1  Jakarta 12560,,PT. Datindo Entrycom,02.504.191.4-017.000,,True,06 Des 2011,0.0,"PT ABM Investama Tbk (IDX: ABMM) merupakan emiten yang memiliki bidang usaha utama berupa jasa penyewaan namun tidak terbatas pada alat - alat berat untuk keperluan eksplorasi dan eksploitasi dan dewatering di industri pertambangan. Emiten sektor Perindustrian ini, memiliki sub sektor Perusahaan Holding Multi Sektor. Adapun alamat kantor perusahaan tercatat di Gedung TMT 1 Lantai 18 Jl. Cilandak KKO No. 1 Jakarta 12560. Perusahaan resmi tercatat atau listing di BEI tanggal 06 Desember 2011. Saat ini, sebagai Pemegang Saham Pengendali (PSP) adalah PT. Tiara Marga Trakindo dengan memiliki sebanyak 53, 559 % atau sejumlah 1. 474. 573. 133 lembar saham.",021-29976768,,corporate-secretary@abm-investama.com

6,ACES,Ace Hardware Indonesia Tbk.,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,"TRADE, SERVICES, & INVESTMENT",Retail Trade,1,Jakarta Barat,021 - 5822222,Helen R. Tanzil // helen_tanzil@acehardware.co.id // +62215822222,www.acehardware.co.id,Gedung Kawan Lama Lantai 5  Jl. Puri Kencana No. 1 Meruya Kembangan  Jakarta 11610,,PT. EDI Indonesia,01.721.123.6-054.000,,True,06 Nov 2007,0.0,"PT Ace Hardware Indonesia Tbk (IDX: ACES) adalah perusahaan ritel yang bergerak dalam bidang perlengkapan rumah dan produk gaya hidup. Perusahaan menjadi bagian dari Grup Kawan Lama dengan Toys Kingdom sebagai salah satu entitas anak. Ace Hardware Indonesia adalah pemegang waralaba (franchise) merek ACE Hardware (ditunjuk oleh ACE Hardware Corporation yang berbasis di AS). Perusahaan tercatat listing di BEI pada tanggal 06 November 2007. Alamat kantor di Gedung Kawan Lama Lantai 5. Jl. Puri Kencana No. 1, Kembangan Selatan, Kembangan, Jakarta Barat 11610.",021 - 5824022,,toto@acehardware.co.id

7,ACST,Acset Indonusa Tbk.,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,"PROPERTY, REAL ESTATE AND BUILDING CONSTRUCTION",Building Construction,1,Jakarta Pusat,(021) 3511961,Maria Cesilia Hapsari // corporate.secretary@acset.co // 0213511961,www.acset.co,"ACSET Building, Jalan Majapahit No.26, Kelurahan Petojo Selatan, Kecamatan Gambir, Jakarta 10160",,PT. Sinartama Gunita,01.709.626.4-054.000,,True,24 Jun 2013,0.0,"PT Acset Indonusa Tbk. (IDX: ACST), memiliki bidang usaha utama berupa Jasa Konstruksi untuk bangunan komersial dan infrastruktur. Perusahaan memiliki beberapa anak usaha yang bergerak di bidang jasa konstruksi, jasa penunjang konstruksi dan perdagangan besar alat berat. Saat ini, PT Karya Supra Perkasa merupakan Pemegang Saham Pengendali dengan persentase kepemilikan sebesar 82, 17 persen atau memiliki sebanyak 10. 415. 808. 885 lembar saham. Perusahaan tercatat listing di BEI pada tanggal 24 Juni 2013. Perseroan memiliki alamat kantor di ACSET Building, Jalan Majapahit No. 26, Kelurahan Petojo Selatan, Kecamatan Gambir, Jakarta 10160.",(021) 3441413,,corporate.secretary@acset.co

1233,ADCP,Adhi Commuter Properti Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,"PROPERTY, REAL ESTATE AND BUILDING CONSTRUCTION",Property and Real Estate,1,"Jl. Pengantin Ali No. 88, Ciracas Kota Jakarta Timur, DKI Jakarta 13740",(021) 228 229 80,Angga Adhiguna // corsec@acp.id // 021) 228 229 80,https://www.adcp.co.id/,-,-,PT. Datindo Entrycom.,85.227.029.7-093.000,-,True,23-Feb-2022,0.0,"PT Adhi Commuter Properti Tbk (ADCP) memiliki bidang usaha utama Perhotelan dan Real Estate. Alamat kantor perseroan tercatat di Jl. Pengantin Ali No. 88, Ciracas Kota, Jakarta Timur, DKI Jakarta 13740. Sebagai pengelola dan pengembang Rela Estat, perusahaan tercatat Listing di BEI pada tanggal 21 Mei 2021. Adapun perusahaan merupakan anak usaha PT Adhi Karya (Persero) Tbk (ADHI).",(021) 228 220 81,30-Apr-2015,corsec@acp.id

8,ADES,Akasha Wira International Tbk.,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,CONSUMER GOODS INDUSTRY,Food & Beverages,2,Jakarta,021-27545000,Thomas Maria Wisnu Adjie // corporate.secretary@adeswaters.co.id;Wisnu.Adji@adeswaters.co.id	// 021-27545000,www.akashainternational.com,"Perkantoran Hijau Arkadia Tower C Lantai 15 Jl. TB. Simatupang Kav. 88 Jakarta 12520",,PT. Raya Saham Registra,01.371.491.0-054.000,,True,13 Jun 1994,0.0,"PT Akasha Wira International Tbk Tbk (IDX: ADES), merupakan perusahaan yang memiliki Bidang Usaha Utama berupa Minuman dan Makanan Ringan. Emiten sektor Barang Konsumen Primer ini beralamat kantor di Perkantoran Hijau Arkadia Tower C Lantai 15 Jl. TB. Simatupang Kav. 88 Jakarta 12520. Listing di BEI pada tanggal 13 Juni 1994. Adapun perusahaan memiliki anak usaha yaitu PT. Akasha Wira International Tbk yang bergerak di Industri Barang Konsumsi.",021 - 78845549; 78845547,,wisnu.adji@akashainternational.com

9,ADHI,Adhi Karya (Persero) Tbk.,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,"PROPERTY, REAL ESTATE AND BUILDING CONSTRUCTION",Building Construction,1,Jakarta Selatan,021-7975312,Ki Syahgolang Permata // kiki@adhi.co.id // 021-7975312,www.adhi.co.id,Jalan Raya Pasar Minggu Km. 18 Jakarta 12510,,-,01.001.610.3-051.000,,True,18 Mar 2004,0.0,"PT Adhi Karya (Persero) Tbk. (ADHI), merupakan perusahaan dengan Bidang Usaha Utama bergerak di sector Konstruksi. Emiten sektor Infrastruktur ini beralamat kantor di Jalan Raya Pasar Minggu Km. 18 Jakarta 12510. Resmi listing di BEI pada tanggal 18 Mar 2004. Perusahaan pelat merah (BUMN) ini juga merupakan induk usaha dari PT Adhi Commuter Properti (IDX: ADCP).",021-7975311,,adhi@adhi.co.id

10,ADMF,Adira Dinamika Multi Finance Tbk.,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,FINANCE,Financial Institution,1,Jakarta,"021-5296 3232, 021-5296 3322",Perry Barman Slangor // af.corsec@adira.co.id // 021-52963322,www.adira.co.id,"Gedung The Landmark I Lantai 26-31 Jl. Jenderal Sudirman No. 1 Jakarta 12910",,-,01.346.494.6-054.000,,True,31 Mar 2004,396.0,"PT Adira Dinamika Multi Finance Tbk atau Adira Finance (IDX: ADMF), adalah perusahaan dengan Bidang Usaha Utama di sektor Pembiayaan konsumen. Emiten sektor Keuangan ini beralamat di Millennium Centennial Center Lantai 53, 56-61, Jl. Jenderal Sudirman Kav. 25 Jakarta 12920. Adapun perusahaan yang listing di BEI tanggal 31 Maret 2004 ini, merupakan anak usaha PT Bank Danamon Indonesia Tbk (IDX: BDMN).",021-5296 3354,,andreas.kurniawan@adira.co.id

