Id,FkProfileId,Name,HoldingType,Amount,Percentage,IdField
452146,1,Publik ,Kurang dari 5%,391.005.893,20.32,1
452147,1,Saham Treasury,Saham Treasury,0,0,1
452148,1,-,Direksi,0,0,1
452144,1,PT Astra International Tbk,Lebih dari 5%,340.510.927,17.69,1
452145,1,PT Astra International Tbk,Lebih dari 5%,1.193.171.513,61.99,1
452155,2,Mahendra Agakhan T,Komisaris,888.200,0.02,2
452149,2,PT Beyond Media,Lebih dari 5%,1.592.831.618,40.47,2
452150,2,PT Solic Kreasi Baru,Lebih dari 5%,542.042.122,13.77,2
452151,2,Mediahuis Ireland Limited,Lebih dari 5%,282.886.300,7.19,2
452152,2,Masyarakat ,Kurang dari 5%,1.518.132.817,38.57,2
452153,2,Saham Treasury,Saham Treasury,0,0,2
452154,2,Tubagus Farash Akbar F,Direksi,20.000,0,2
452159,3,Tjan Soen Eng,Komisaris,1.300,0,3
452156,3,OONA INSURANCE PTE LTD,Lebih dari 5%,588.313.138,94.77,3
452157,3,Masyarakat,Kurang dari 5%,32.493.542,5.23,3
452158,3,Saham Treasury,Saham Treasury,0,0,3
452169,4,Arief Tarunakarya Surowidjojo,Komisaris,0,0,4
452170,4,Adrian Erlangga,Direksi,0,0,4
452160,4,PT. Tiara Marga Trakindo,Lebih dari 5%,1.474.573.133,53.559,4
452161,4,Valle Verde PTE LTD,Lebih dari 5%,702.349.867,25.511,4
452162,4,Masyarakat,Kurang dari 5%,576.242.000,20.93,4
452163,4,Saham Treasury,Saham Treasury,0,0,4
452164,4,Achmad Ananda Djajanegara,Direksi,1.283.500,0.0466,4
452165,4,Mivida Hamami,Komisaris,133.500,0.0048,4
452166,4,Haris Mustarto,Direksi,0,0,4
452167,4,Rachmat Mulyana Hamami,Komisaris,6.120.500,0.2223,4
452168,4,Manggi Taruna Habir,Komisaris,0,0,4
452179,5,TERESA LUCIA WIBOWO,Direksi,983.000,0.01,6
452171,5,PT KAWAN LAMA SEJAHTERA,Lebih dari 5%,10.284.900.000,59.97,6
452172,5,Kuncoro Wibowo,Kurang dari 5%,100.000,0,6
452173,5,Masyarakat,Kurang dari 5%,6.835.389.700,39.86,6
452174,5,Saham Treasury,Saham Treasury,29.610.300,0.17,6
452175,5,DEWI TRIANA SALEH,Direksi,400.000,0,6
452176,5,SUHARNO,Direksi,1.230.000,0.01,6
452177,5,GREGORY SUGYONO WIDJAJA,Direksi,94.100,0,6
452178,5,KUNCORO WIBOWO,Komisaris,100.000,0,6
452192,6,Hilarius Arwandhi,Direksi,0,0,7
452180,6,PT Karya Supra Perkasa,Lebih dari 5%,10.415.808.885,82.17,7
452181,6,Masyarakat,Kurang dari 5%,2.259.351.115,17.83,7
452182,6,Saham Treasury,Saham Treasury,0,0,7
452183,6,David Widjaja,Direksi,0,0,7
452184,6,Djoko Prabowo,Direksi,0,0,7
452185,6,Frans Kesuma,Komisaris,0,0,7
452186,6,Iwan Hadiantoro,Komisaris,0,0,7
452187,6,Tan Tiam Seng Ronnie,Komisaris,0,0,7
452188,6,Buntoro Muljono,Komisaris,0,0,7
452189,6,Wiltarsa Halim,Komisaris,0,0,7
452190,6,Idot Supriadi,Direksi,0,0,7
452191,6,Soeharsono Tjatur Nugroho,Direksi,0,0,7
452206,2009,Hanif Setyo Nugroho,Direksi,0,0,1233
452193,2009,PT Adhi Karya (Persero) Tbk,Lebih dari 5%,19.999.900.000,89.9995,1233
452194,2009,Masyarakat,Kurang dari 5%,2.222.222.200,10,1233
452195,2009,Koperasi Jasa Adhi Sejahtera,Kurang dari 5%,100.000,0.0004,1233
452196,2009,Saham Treasury,Saham Treasury,0,0,1233
452197,2009,Pundjung Setya Brata,Komisaris,0,0,1233
452198,2009,A.A.G. Agung Dharmawan,Komisaris,0,0,1233
452199,2009,Tjatur Waskito Putro,Komisaris,0,0,1233
452200,2009,M. Isnaini,Komisaris,0,0,1233
452201,2009,Amrozi Hamidi,Komisaris,0,0,1233
452202,2009,Rizkan Firman,Direksi,0,0,1233
452203,2009,Indra Syahruzza,Direksi,0,0,1233
452204,2009,Mochamad Yusuf,Direksi,0,0,1233
452205,2009,Rozi Sparta,Direksi,0,0,1233
452210,7,Dra Nana Puspa Dwwi,Komisaris,4.000,0.0007,8
452207,7,"Water Partners Bottling, SA",Lebih dari 5%,539.896.713,91.52,8
452208,7,Masyarakat ,Kurang dari 5%,50.000.087,8.48,8
452209,7,Saham Treasury,Saham Treasury,0,0,8
452223,8,Dody Usodo Hargo,Komisaris,0,0,9
452224,8,Erwin Moeslimin Singajuru,Komisaris,0,0,9
452211,8,Negara Republik Indonesia,Lebih dari 5%,5.408.773.792,64.33,9
452212,8,Masyarakat,Kurang dari 5%,2.998.835.187,35.67,9
452213,8,Saham Treasury,Saham Treasury,0,0,9
452214,8,Widiarto,Komisaris,0,0,9
452215,8,Abdul Muni,Komisaris,0,0,9
452216,8,Hironimus Hilapok,Komisaris,0,0,9
452217,8,Entus Asnawi Mukhson,Direksi,0,0,9
452218,8,Bambang Krisminarno,Direksi,0,0,9
452219,8,Ki Syahgolang Permata,Direksi,0,0,9
452220,8,Vera Kirana,Direksi,0,0,9
452221,8,A. Suko Widigdo,Direksi,0,0,9
452222,8,Pundjung Setya Brata,Direksi,0,0,9
452229,9,-,Komisaris,0,0,10
452225,9,PT Bank Danamon Indonesia Tbk,Lebih dari 5%,920.700.000,92.07,10
452226,9,Masyarakat,Kurang dari 5%,79.300.000,7.93,10
452227,9,Saham Treasury,Saham Treasury,0,0,10
452228,9,-,Direksi,0,0,10
452243,10,Bambang Husodo,Komisaris,0,0,11
452230,10,Provestment Limited,Lebih dari 5%,1.925.414.417,50,11
452231,10,PT Satya Mulia Gema Gemilang,Lebih dari 5%,405.356.593,10,11
452232,10,PT Gajah Tunggal Tbk,Lebih dari 5%,994.150.000,26,11
452233,10,Masyarakat umum,Kurang dari 5%,564.258.549,14,11
452234,10,Saham Treasury,Saham Treasury,0,0,11
452235,10,Gautama Hartarto,Direksi,0,0,11
452236,10,Johan Setiawan,Direksi,0,0,11
452237,10,Gunawan Halim,Direksi,0,0,11
452238,10,Djunali Djuwati,Direksi,0,0,11
452239,10,Wiji Santoso,Direksi,0,0,11
452240,10,"Bacelius Ruru, SH, LLM",Komisaris,0,0,11
452241,10,H. Rosihan Arsyad ,Komisaris,0,0,11
452242,10,Hendra Soerijadi,Komisaris,0,0,11
452250,1795,Chia Ah Hoo,Komisaris,1.134.000,0.003,1226
452244,1795,PT Adaro Energy Indonesia Tbk,Lebih dari 5%,28.023.450.000,68.547,1226
452245,1795,PT Alam Tri Abadi,Lebih dari 5%,2.640.470.000,6.459,1226
452246,1795,PT Adaro Mining Technologies,Lebih dari 5%,3.611.330.000,8.833,1226
452247,1795,Publik,Kurang dari 5%,6.607.081.500,16.161,1226
452248,1795,Saham Treasury,Saham Treasury,0,0,1226
452249,1795,Wito Krisnahadi,Direksi,69.000,0,1226
452261,11,Julius Aslan,Direksi,11.000.000,0.034,12
452251,11,PT Adaro Strategic Investment,Lebih dari 5%,14.045.425.500,43.91,12
452252,11,Garibaldi Thohir,Lebih dari 5%,1.976.632.710,6.18,12
452253,11,Lainnya,Kurang dari 5%,14.867.985.590,46.48,12
452254,11,Saham Treasury,Saham Treasury,1.095.918.200,3.43,12
452255,11,Edwin Soeryadjaya,Komisaris,1.051.738.544,3.29,12
452256,11,Ir. Theodore Permadi Rachmat,Komisaris,812.988.601,2.54,12
452257,11,Arini Saraswaty Subianto,Komisaris,79.975.750,0.25,12
452258,11,Garibaldi Thohir,Direksi,1.976.632.710,6.18,12
452259,11,Christian Ariano Rachmat,Direksi,16.000.000,0.05,12
452260,11,Chia Ah Hoo,Direksi,9.593.500,0.033,12
452269,1559,Thelly Rope,Komisaris,0,0,1114
452262,1559,PT Indo Kreasi Pratama,Lebih dari 5%,450.000.000,45,1114
452263,1559,PT Sinar Terang Asia Raya,Lebih dari 5%,299.926.800,30,1114
452264,1559,Masyarakat,Kurang dari 5%,250.073.200,25,1114
452265,1559,Saham Treasury,Saham Treasury,0,0,1114
452266,1559,Indra Widyadharma,Direksi,0,0,1114
452267,1559,Agnes Kristina,Direksi,0,0,1114
452268,1559,Bayu Aji,Komisaris,0,0,1114
452278,534,Nini Liemijanto,Direksi,25.200,0.001,955
452279,534,Budi Susanto,Direksi,25.200,0.001,955
452280,534,Octavianus Santoso Rastanto,Direksi,9.700,0,955
452270,534,PT Aneka Mega Energi,Lebih dari 5%,459.999.000,15,955
452271,534,PT Samator,Lebih dari 5%,1.080.693.020,35.24,955
452272,534,Masyarakat,Lebih dari 5%,230.048.860,7.5,955
452273,534,PT Saratoga Investama Sedaya,Lebih dari 5%,306.666.000,10,955
452274,534,Matrix Company Limited,Lebih dari 5%,989.253.120,32.26,955
452275,534,,Kurang dari 5%,0,0,955
452276,534,Saham Treasury,Saham Treasury,0,0,955
452277,534,Djanarko Tjandra,Direksi,39.700,0.001,955
452293,12,Rustarti Suri Pertiwi,Direksi,0,0,13
452281,12,PT. Bank Rakyat Indonesia (Persero) Tbk,Lebih dari 5%,21.487.162.037,86.85,13
452282,12,Masyarakat,Kurang dari 5%,3.253.332.257,13.15,13
452283,12,Saham Treasury,Saham Treasury,24.740.494.294,0,13
452284,12,Muhamad Sidik Heruwibowo,Komisaris,0,0,13
452285,12,Eko B. Supriyanto,Komisaris,0,0,13
452286,12,Rina Saadah,Komisaris,0,0,13
452287,12,Retno Wahyuni Wijayanti,Komisaris,0,0,13
452288,12,Achmad F.C Barir,Komisaris,1.216.287,0.0049,13
452289,12,Ida Bagus Ketut Subagia,Direksi,0,0,13
452290,12,Dedy Hendrianto,Direksi,55.086,0.0002,13
452291,12,Bhimo Wikan Hantoro,Direksi,2.552.642,0.0103,13
452292,12,Danar Widyantoro,Direksi,0,0,13
452305,13,Edwin Rudianto,Direksi,0,0,14
452294,13,Industrial Bank of Korea,Lebih dari 5%,25.227.362.385,91.24,14
452295,13,Masyarakat,Kurang dari 5%,2.402.014.396,8.68,14
452296,13,Saham Treasury,Saham Treasury,20.158.930,0.08,14
452297,13,Kang Ho Chang,Komisaris,0,0,14
452298,13,Taufik Hakim,Komisaris,0,0,14
452299,13,Lee Dae Sung,Direksi,0,0,14
452300,13,Maria Cortilia Vera Afianti,Direksi,0,0,14
452301,13,Alexander Frans Rori,Direksi,0,0,14
452302,13,Cha Jae Young,Direksi,0,0,14
452303,13,Damal Bayu Utama,Komisaris,0,0,14
452304,13,Joni Swastanto,Komisaris,0,0,14
452318,14,Adhi Indrawan,Komisaris,0,0,15
452319,14,Treesje Halim,Direksi,0,0,15
452306,14,PT ASURANSI CENTRAL ASIA,Lebih dari 5%,3.066.343.009,62.578,15
452307,14,SENDRA GUNAWAN,Lebih dari 5%,627.362.866,12.803,15
452308,14,Masyarakat,Kurang dari 5%,1.206.294.125,24.619,15
452309,14,Saham Treasury,Saham Treasury,0,0,15
452310,14,Alamsyah,Direksi,0,0,15
452311,14,Rinawati,Direksi,0,0,15
